episode,reward,length
1016,-5.836366,30
1017,-1.132218,22
1018,2.051017,30
1019,-10.126255,30
1020,1.08763,8
1021,0.6413,30
1022,-1.176138,15
1023,-1.99261,26
1024,1.2766,30
1025,-6.722044,26
1026,-3.016036,29
1027,1.122878,15
1028,-0.32502,21
1029,0.097909,27
1030,-1.788249,12
1031,-0.183098,13
1032,2.483313,30
1033,2.065476,30
1034,-2.350363,22
1035,-2.413106,28
1036,-0.853775,22
1037,-1.118978,30
1038,-5.550752,29
1039,0.609844,22
1040,-3.258863,27
1041,0.522776,29
1042,2.607272,30
1043,0.088748,27
1044,-0.396901,26
1045,1.452744,30
1046,-1.878269,30
1047,1.048581,20
1048,-1.216397,15
1049,0.966694,19
1050,-0.492845,11
1051,-3.107085,30
1052,2.493985,27
1053,1.233096,22
1054,1.455843,19
1055,1.215801,16
1056,-4.327919,14
1057,-4.566504,30
1058,-6.222096,30
1059,-3.016745,30
1060,-0.315684,12
1061,2.713614,16
1062,-12.960118,30
1063,-1.033529,25
1064,-2.589843,24
1065,2.350878,21
1066,-3.477212,22
1067,-0.090055,16
1068,2.761616,19
1069,0.780283,22
1070,-2.553854,14
1071,-2.978202,30
1072,1.866263,20
1073,-0.304515,20
1074,2.268336,25
1075,-4.187524,16
1076,-1.23973,30
1077,-0.342064,30
1078,-2.039883,26
1079,-2.652403,14
1080,1.834154,12
1081,-1.271463,26
1082,-0.103085,30
1083,-3.591887,30
1084,-0.339127,16
1085,4.346428,24
1086,3.658376,26
1087,-9.197589,30
1088,-3.113001,25
1089,1.764054,17
1090,1.050073,30
1091,4.016361,26
1092,0.477741,30
1093,-6.074423,24
1094,2.096474,23
1095,-2.156268,20
1096,0.732634,24
1097,2.093349,29
1098,-3.04348,28
1099,0.32133,30
1100,-3.834235,17
1101,0.362348,30
1102,-4.77373,30
1103,-4.306625,30
1104,0.297296,18
1105,-0.186944,7
1106,-2.422394,25
1107,-3.337672,30
1108,-1.855622,30
1109,1.366412,23
1110,-0.132193,21
1111,0.913203,14
1112,-4.077319,30
1113,-2.761958,28
1114,1.079147,26
1115,1.567989,30
1116,-0.513944,27
1117,-0.839128,30
1118,2.137086,30
1119,0.637907,17
1120,2.119385,30
1121,-0.229526,30
1122,0.089176,27
1123,1.863655,25
1124,-0.564652,30
1125,-3.482761,26
1126,-3.46039,30
1127,0.763558,29
1128,-6.206287,30
1129,-0.059636,16
1130,-0.185319,13
1131,-5.116617,30
1132,-0.988782,21
1133,2.254702,26
1134,1.607513,9
1135,1.76001,30
1136,-7.699661,18
1137,-0.349518,19
1138,0.863264,30
1139,-3.596298,30
1140,1.937973,20
1141,-2.761462,11
1142,0.586633,13
1143,-2.490787,23
1144,-6.055154,20
1145,-3.957727,30
1146,-1.879939,15
1147,-0.987625,17
1148,-1.856803,30
1149,0.247216,12
1150,2.571997,30
1151,2.421393,30
1152,-1.093425,26
1153,-4.279861,26
1154,-1.616168,30
1155,-5.739598,25
1156,0.059986,30
1157,1.938755,30
1158,-0.02262,17
1159,-2.561921,30
1160,-0.768116,18
1161,0.119852,30
1162,-0.574074,24
1163,-0.230012,30
1164,3.682636,24
1165,2.193607,27
1166,0.494373,27
1167,0.517038,20
1168,-2.585724,28
1169,-0.617539,26
1170,1.921806,20
1171,0.46459,20
1172,2.225739,30
1173,-0.463449,14
1174,-4.296933,26
1175,-1.369946,19
1176,0.649347,30
1177,1.501101,17
1178,-1.126447,30
1179,2.270331,30
1180,0.104393,30
1181,-9.70914,30
1182,2.145922,25
1183,-1.023156,24
1184,1.082709,30
1185,-1.215264,30
1186,0.087212,13
1187,2.528507,30
1188,-5.432714,14
1189,-1.707293,14
1190,-1.378692,21
1191,-8.168404,27
1192,1.894926,30
1193,-5.508892,30
1194,-3.37606,19
1195,0.08443,30
